event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SSD7302,29/12/20,2020,1,Political violence,Battles,Armed clash,Ciec Clan Militia (South Sudan),Atuot Ethnic Militia (South Sudan); Dinka Ethnic Militia (South Sudan),4,Aliab Clan Militia (South Sudan),Dinka Ethnic Militia (South Sudan),4,44,,728,Eastern Africa,South Sudan,Lakes,Awerial,Dor,Awerial,6.1264,31.1722,2,Radio Tamazuj,National,"On 29 December 2020, attackers from Yirol East and West counties (and presumed to be Ciec Dinka and Atuot, respectively) raided a cattle camp at an unspecified location in Awerial Center payam in Awerial county (Lakes state) [coded to Awerial]. 4 of the defenders (presumed to be Aliab Dinka) were killed and 1 wounded, and 2 of the attackers were killed across two separate raids in Bunagok and Awerial Center that day (fatalities for attackers distributed across both events).",5,,1649110877
SSD7300,29/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,,728,Eastern Africa,South Sudan,Central Equatoria,Kajo Keji,Liwolo,Ajio,3.8385,31.1943,2,Juba Monitor,National,"On 29 December 2020, SSPDF clashed with SPLM-IO forces at an unspecified location(s) in Ajio boma in Kajo-Keji county (Central Equatoria state) [coded to Ajio]. There is no information on fatalities or casualties. Over a hundred civilians were displaced to nearby areas, and an unspecified number crossed into Uganda.",0,,1650317299
MLI4676,28/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Mali),,3,MAA: Arab Movement of the Azawad (CMA),,2,23,,466,Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,1,Whatsapp; Gao Infos,New media,"On 28 December 2020, unknown gunmen attacked the house of a MAA-CMA officer in Gao (Gao, Gao). One of the officer's daughters was killed in the crossfire and another wounded.",1,,1610409621
CEN47807,28/12/20,2020,1,Political violence,Battles,Armed clash,Anti-Balaka,CPC: Coalition of Patriots for Change,3,Anti-Balaka,,3,33,,140,Middle Africa,Central African Republic,Ouham,Bouca,Bouca Bobo,Bouca,6.5026,18.2793,1,Radio Ndeke Luka; Corbeau News,National,"On 28 December 2020, two Anti-Balaka militia groups clashed for the second day in Bouca (Bouca, Ouhan). According to residents, they clashed after one group refused to join the coalition of government opposition forces. No reports on injuries or fatalities.",0,,1622068037
SSD7294,28/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,,728,Eastern Africa,South Sudan,Central Equatoria,Kajo Keji,Liwolo,Ajio,3.8385,31.1943,2,Juba Monitor,National,"On 28 December 2020, SSPDF clashed with SPLM-IO forces at an unspecified location(s) in Ajio boma in Kajo-Keji county (Central Equatoria state) [coded to Ajio]. There is no information on fatalities or casualties. Over a hundred civilians were displaced to nearby areas, and an unspecified number crossed into Uganda.",0,,1650317299
SSD7297,28/12/20,2020,1,Political violence,Battles,Armed clash,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Central Equatoria,Juba,Dolo,Kuda South,4.9611,31.1764,2,Juba Monitor,National,"On 28 December 2020, Mundari pastoralists clashed at one of the three Kuba villages in Juba county (Central Equatoria state) [coded to Kuba South], as they returned to Terekeka county after numerous violent encounters prompted government forces to expel them from Juba county. The Mundari clans of Kabura, Yanguara and Tali were involved in the latest clashes, though it is unclear who was fighting who. At least 21 were killed in two days of fighting (fatalities distributed across two events).",10,,1650317299
SSD7298,28/12/20,2020,1,Political violence,Battles,Armed clash,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Central Equatoria,Juba,Northern Bari,Rombur,4.9036,31.4919,1,Juba Monitor,National,"On 28 December 2020, Mundari pastoralists clashed at Rombur in Juba county (Central Equatoria state), as they returned to Terekeka county after numerous violent encounters prompted government forces to expel them from Juba county. The Mundari clans of Kabura, Yanguara and Tali were involved in the latest clashes, though it is unclear who was fighting who. 3 were killed in the violence at Rombur.",3,,1650317299
CEN47833,27/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,Anti-Balaka; UPC: Union for Peace in the Central African Republic; FPRC: Popular Front for the Renaissance of Central Africa,3,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,8,38,,140,Middle Africa,Central African Republic,Haute-Kotto,Bria,Samba-Boungou,Bria,6.5374,21.9914,1,Undisclosed Source,Local partner-Other,"On 27 December 2020, UPC, FPRC, and Anti-balaka fighters (assumed CPC) attacked voters and clashed with MINUSCA at polling sites in Bria (Bria, Haute-Kotto), killing 5 civilians, including 2 women, and leaving 8 injured. International security forces responded and killed 2 UPC combatants.",7,,1622068037
CEN47794,27/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,3,Private Security Forces (Central African Republic),,8,38,,140,Middle Africa,Central African Republic,Nana-Mambere,Bouar,Herman-Brousse,Bouar,5.9312,15.593,1,Corbeau News; AFP; Radio Ndeke Luka,National-International,"On 27 December 2020, private security forces clashed with an unidentified armed group during an attack by the unidentified armed group at the ICRC offices in Bouar (Bouar, Nana-Mambere). 3 security officers were injured (one was stabbed). The premises of the Lutheran World Federation, a NGO, a police station and 2 gendarmerie brigades were also looted.",0,,1622068037
CEN47796,27/12/20,2020,1,Political violence,Battles,Armed clash,Anti-Balaka,CPC: Coalition of Patriots for Change,3,Anti-Balaka,,3,33,,140,Middle Africa,Central African Republic,Ouham,Bouca,Bouca Bobo,Bouca,6.5026,18.2793,1,Corbeau News; Radio Ndeke Luka,National,"On 27 December 2020, two Anti-Balaka militia groups clashed in Bouca (Bouca, Ouhan). According to residents, they clashed after one group refused to join the coalition of government opposition forces. No reports on injuries or fatalities.",0,,1622068037
CEN47791,27/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Central African Republic),,3,Police Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Bangui,Bangui,Arrondissement 8,Bangui - 8,4.4122,18.5305,1,Corbeau News,National,"On 27 December 2020, police officers clashed with unidentified armed individuals during an attack against the brigade of the OCRB (Central Office for the Repression of Banditry), Damala, Bangui-8 (Bangui, Bangui). A police officer was injured.",0,,1622068037
CEN47804,27/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1,13,,140,Middle Africa,Central African Republic,Kemo,Sibut,Sibut,Sibut,5.7275,19.0819,2,RFI,International,"On 27 December 2020, clashes between CPC rebels and military forces supported by MINUSCA took place about ten kilometers from the town of Sibut (Sibut, Kemo). No fatalities and/or injuries reported.",0,,1622068037
MLI4669,27/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of Mali (2020-2021),,1,Dozo Communal Militia (Mali),,4,14,,466,Western Africa,Mali,Mopti,Djenne,Fakala,Bonguel,14.08,-4.136,2,AMAP; FAMAMali,National,"On 27 December 2020, the Malian army clashed with Dozo militiamen near Bonguel (Djenne, Mopti). One Dozo militiaman was killed, one wounded, one motorbike seized. Livestock previously stolen by the Dozos in the village of Dakadjan were recovered.",1,,1624927676
MLI4673,27/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of France (2017-),Military Forces of Mali (2020-2021),8,Unidentified Armed Group (Mali),,3,38,,466,Western Africa,Mali,Mopti,Douentza,Hombori,Tara,15.2536,-1.5563,2,FAMAMali; Azawad News,New media-National,"On 27 December 2020, a joint Barkhane and Malian army patrol exchanged gunfire with suspected militants in or near Tara (Douentza, Mopti). The patrol arrested 5 individuals and seized motorbikes, fuel, and cell phones. No casualties were reported.",0,,1624927676
MLI4672,27/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of Mali (2020-2021),,1,Unidentified Armed Group (Mali),,3,13,,466,Western Africa,Mali,Mopti,Koro,Koro,Edioubara,13.9973,-3.0727,2,AMAP; FAMAMali; Studio Tamani,Subnational-National,"On 27 December 2020, a Malian army patrol killed two gunmen, described as armed bandits, between Edioubara and Ogodourou (Koro, Mopti). Four other gunmen were reportedly 'neutralized' and 1 AK rifle seized. The Malian army had launched a pursuit after the gunmen stole cattle.",2,,1646432974
SSD7289,27/12/20,2020,1,Political violence,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition (Splinter Faction),,2,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,22,,728,Eastern Africa,South Sudan,Central Equatoria,Kajo Keji,Liwolo,Ajio,3.8385,31.1943,1,Nyamilepedia; UNSC; Juba Monitor,Other-National,"On 27 December 2020, recently defected SPLM-IO forces loyal to Major General Moses Lokujo clashed with SPLM-IO forces at Kerwa and Ajio in Liwolo payam of Kajo-Keji county (Central Equatoria state). Three SPLM-IO soldiers were killed and four of the defector were captured (3 fatalities distributed across two events).",2,,1650317298
SSD7290,27/12/20,2020,1,Political violence,Battles,Armed clash,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition (Splinter Faction),,2,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,22,,728,Eastern Africa,South Sudan,Central Equatoria,Kajo Keji,Liwolo,Kerwa,3.7906,31.309,1,Nyamilepedia; UNSC; Juba Monitor,Other-National,"On 27 December 2020, recently defected SPLM-IO forces loyal to Major General Moses Lokujo clashed with SPLM-IO forces at Kerwa and Ajio in Liwolo payam of Kajo-Keji county (Central Equatoria state). Three SPLM-IO soldiers were killed and four of the defector were captured (3 fatalities distributed across two events).",1,,1650317298
SSD7292,27/12/20,2020,1,Political violence,Battles,Armed clash,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Central Equatoria,Juba,Dolo,Kuda South,4.9611,31.1764,2,Juba Monitor,National,"On 27 December 2020, Mundari pastoralists clashed at one of the three Kuba villages in Juba county (Central Equatoria state) [coded to Kuba South], as they returned to Terekeka county after numerous violent encounters prompted government forces to expel them from Juba county. The Mundari clans of Kabura, Yanguara and Tali were involved in the latest clashes, though it is unclear who was fighting who. At least 21 were killed in two days of fighting (fatalities distributed across two events).",11,,1650317299
CEN47788,26/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Bangui,Bangui,Bangui,Bangui,4.3612,18.5549,1,RFI,International,"On 26 December 2020, at night gunfire suspected to have been exchanged between CPC rebels and military forces, took place in Bangui. No fatalities and/or injuries reported.",0,,1610409643
SSD7283,25/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Tonj South Communal Militia (South Sudan),,4,34,,728,Eastern Africa,South Sudan,Warrap,Tonj South,Tonj,Madol,7.2941,28.6965,1,VOA,International,"On 25 December 2020, unknown attackers armed with military-grade weapons clashed with local militia at Madol on the outskirts of Tonj town in Tonj South county (Warrap state), killing 1 and wounding 6 in a firefight which lasted several hours. The attackers engaged in extensive looting, and stole 32 cows. An unspecified number were displaced, at least some of whom relocated to Tonj town.",1,,1610409647
CEN47786,25/12/20,2020,1,Political violence,Battles,Non-state actor overtakes territory,CPC: Coalition of Patriots for Change,,3,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,8,38,,140,Middle Africa,Central African Republic,Mbomou,Bakouma,Bakouma,Bakouma,5.7019,22.7817,1,RFI; All Africa; Deutsche Welle; AFP,International,"On 25 December 2020, three United Nations peacekeepers from Burundi was killed by unidentified combatants in ongoing clashes with CPC rebel forces in Bakouma (Bakouma, Mbomou) and Dekoa. The three casualties were divided across two events. The rebel coalition reportedly took over the town following the clashes.",1,,1643150991
CEN47787,25/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,8,38,,140,Middle Africa,Central African Republic,Kemo,Dekoa,Dekoa,Dekoa,6.3202,19.0782,1,RFI; All Africa; AFP; Deutsche Welle,International,"On 25 December 2020, three United Nations peacekeepers from Burundi were killed by unidentified combatants in ongoing clashes with CPC rebel forces in Bakouma and Dekoa (Dekoa, Kemo). The three casualties were divided across two events.",2,,1643150991
SSD7280,24/12/20,2020,1,Political violence,Battles,Armed clash,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Central Equatoria,Juba,Ganji,Kagwada,4.4563,31.2091,1,Eye Radio (South Sudan),National,"On 24 December 2020, Mundari pastoralists clashed in Kagwada and Mile 45 (in the area of Waraga) in southern Juba county (Central Equatoria state) [coded to Kagwada], resulting in at least 12 deaths (one source says 13) and an unspecified number wounded. The reason for the clashes is unclear, but follows a month of violence involving intra-Mundari clashes in several areas of Juba county. Fatalities distributed across two events.",6,,1610409634
SSD7282,24/12/20,2020,1,Political violence,Battles,Armed clash,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,Mundari Ethnic Militia (South Sudan),Pastoralists (South Sudan),4,44,,728,Eastern Africa,South Sudan,Central Equatoria,Juba,Wonduruba,Waraga,4.3903,31.1441,2,Eye Radio (South Sudan),National,"On 24 December 2020, Mundari pastoralists clashed in Kagwada and Mile 45 (in the area of Waraga) in southern Juba county (Central Equatoria state) [coded to Waraga], resulting in at least 12 deaths (one source says 13) and an unspecified number wounded. The reason for the clashes is unclear, but follows a month of violence involving intra-Mundari clashes in several areas of Juba county. Fatalities distributed across two events.",6,,1610409634
MLI4666,24/12/20,2020,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Military Forces of Mali (2020-2021),,1,12,,466,Western Africa,Mali,Mopti,Koro,Dinangourou,Feto-Nelbi,14.53,-2.1717,2,Mali Jet; AMAP; FAMAMali; Koro Kibaru,New media-National,"On 24 December 2020, suspected JNIM militants ambushed a Malian army convoy escorting civilians in the area of Feto-Nelbi (Koro, Mopti), between Mondoro and Dinangourou. The soldiers routed the militants. Around 10 militants were reportedly killed and 7 civilians wounded.",10,,1624927676
CEN47784,24/12/20,2020,1,Political violence,Battles,Armed clash,Military Forces of the Central African Republic (2016-),Wagner Group,1,CPC: Coalition of Patriots for Change,,3,13,,140,Middle Africa,Central African Republic,Lobaye,Mbaiki,Pissa,Bobangui,4.0536,18.1938,1,Corbeau News,National,"On 24 December 2020, CPC forces clashed with members of the military forces and Russian private security forces in Bobangui (Mbaiki, Lobaye). The city is the current base of the Wagner Group forces. No reports on injuries and/or fatalities.",0,,1633455252
CEN47933,24/12/20,2020,1,Political violence,Battles,Armed clash,UPC: Union for Peace in the Central African Republic,,3,Military Forces of the Central African Republic (2016-),Wagner Group,1,13,,140,Middle Africa,Central African Republic,Mbomou,Bakouma,Bakouma,Bakouma,5.7019,22.7817,1,Undisclosed Source,Local partner-Other,"On 24 December 2020, UPC forces attacked security forces in Bakouma (Bakouma, Mbomou). International security forces, likely Wagner Group (and coded as such) responded and clashed with the attackers.",0,,1648493878
CEN47775,23/12/20,2020,1,Political violence,Battles,Armed clash,Private Security Forces (Central African Republic),,8,Military Forces of the Central African Republic (2016-) Presidential Security Unit,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1,18,,140,Middle Africa,Central African Republic,Bangui,Bangui,Bangui,Bangui,4.3612,18.5549,1,Corbeau News,National,"On 23 December 2020, an officer of the presidential guard was shot and killed while passing in front of the house of a former president of the PK14 neighborhood, Bangui (Bangui, Bangui). A clash between private security forces, the presidential guard and MINUSCA offices ensurd.",1,,1610409631
CEN47778,23/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Ombella-M'Poko,Boali,Boali,Boali,4.8773,18.0017,1,RFI,International,"On 23 December 2020, exchanges of fire took place between the military forces and the CPC rebel forces in Boali (Boali, Ombella M'Poko). No fatalities and/or injuries reported.",0,,1622068037
CEN47774,23/12/20,2020,1,Political violence,Battles,Government regains territory,Military Forces of the Central African Republic (2016-),MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),1,CPC: Coalition of Patriots for Change,,3,13,,140,Middle Africa,Central African Republic,Ouaka,Bambari,Bambari,Bambari,5.7648,20.6542,1,BBC News; RFI; All Africa,International,"On 23 December 2020, UN peacekeepers and the national army regained control of Bambari (Bambari, Ouaka) from the CPC rebels. No injuries and/or fatalities reported.",0,,1622068037
CEN47779,23/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Ombella-M'Poko,Bogangolo,Bogangolo,Bogangolo,5.5724,18.2438,2,BBC News; Reseau des Journalistes pour les Droits de l'Homme; Corbeau News,National-International,"On 23 December 2020, the CPC clashed with the national army in the sub-prefecture of Bogangolo (Ombella M'Poko). No fatalities and/or injuries reported.",0,,1622068037
MLI4664,22/12/20,2020,1,Political violence,Battles,Armed clash,Islamic State (West Africa) - Greater Sahara Faction,,2,GATIA: Imghad Tuareg and Allies Self-Defense Group,Platform of June 14th 2014 movements,3,23,,466,Western Africa,Mali,Menaka,Anderamboukane,Anderamboukane,Tadayne,15.469,2.9665,1,Studio Tamani; Azawad News; MSA Azawad,New media-National,"On 22 December 2020, presumed ISGS militants aboard motorbikes killed a GATIA (Plateforme) officer in Tadayne (Menaka, Menaka).",1,,1622068037
CEN47772,22/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Ombella-M'Poko,Boali,Boali,Boali,4.8773,18.0017,2,AFP; UN (unspecified),Other-International,"On 22 December 2020, fighting broke out between armed rebel groups of the CPC and military forces on a major road linking Bangui to Cameroon, near Boali (Boali, Ombella M'Poko), leaving several civilians injured.",0,,1622068037
CEN47770,22/12/20,2020,1,Political violence,Battles,Non-state actor overtakes territory,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),Wagner Group,1,13,,140,Middle Africa,Central African Republic,Ouaka,Bambari,Bambari,Bambari,5.7648,20.6542,1,Corbeau News,National,"On 22 December 2020, the city of Bambari (Bambari, Ouaka) was taken by CPC forces after a clash with the military forces and Russian private forces. Sources reported fatalities on both sides. Fatalities coded as 3.",3,,1633455253
CEN47769,21/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Lobaye,Mbaiki,Mbaiki,Mbaiki,3.8739,17.9922,1,RFI,International,"On 21 December 2020, clashes took place between the rebel forces of the CPC coalition and military forces in the town of Mbaiki (Mbaiki, Lobaye prefecture). No fatalities and/or injuries reported.",0,,1622068037
CEN48394,21/12/20,2020,1,Political violence,Battles,Armed clash,CPC: Coalition of Patriots for Change,FPRC: Popular Front for the Renaissance of Central Africa,3,MINUSCA: United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (2014-),,8,38,,140,Middle Africa,Central African Republic,Ouham,Batangafo,Batangafo,Batangafo,7.301,18.2851,3,UN OHCHR,Other,"On 21 December 2020, the FPRC rebels from CPC attacked a MINUSCA base, clashing with peacekeepers, trying to loot weapons and military equipment, in Ouham prefecture (coded as Batangafo). No fatalities or injuries were reported.",0,,1630980851
CEN47767,20/12/20,2020,1,Political violence,Battles,Armed clash,"RRR: Return, Reclamation and Rehabilitation",,3,Military Forces of the Central African Republic (2016-),,1,13,,140,Middle Africa,Central African Republic,Lobaye,Mbaiki,Mbaiki,Mbaiki,3.8739,17.9922,1,BBC News,International,"On 20 December 2020, clashes took place in Mbaiki (Mbaiki, Lobayi) between the 3R rebel fighters and the military forces. No fatalities and/or injuries reported.",0,,1622068037
MLI4660,20/12/20,2020,1,Political violence,Battles,Armed clash,Unidentified Armed Group (Mali),,3,Police Forces of Mali (2020-2021),,1,13,,466,Western Africa,Mali,Sikasso,Koutiala,Zangasso,Zangasso,12.1583,-5.6202,1,Koutiala Observateur Infos; Nouvel Horizon; Twitter,New media-National,"On 20 December 2020, unknown gunmen attacked a toll booth manned by the police in Zangasso (Koutiala, Sikasso). The policemen reportedly fled. No casualties were reported.",0,,1626735454
